use_kwh,pay,reduced_pay
766,206070,109210
767,206410,109550
768,206750,109880
769,207090,110220
770,207440,110550
771,207780,110890
772,208120,111230
773,208460,111560
774,208800,111900
775,209140,112230
776,209480,112570
777,209830,112900
778,210170,113240
779,210520,113580
780,210860,113910
781,211200,114250
782,211540,114580
783,211880,114920
784,212220,115250
785,212560,115590
786,212900,115920
787,213240,116260
788,213590,116600
789,213930,116930
790,214270,117270
791,214610,117600
792,214950,117940
793,215290,118270
794,215630,118610
795,215970,118950
796,216310,119280
797,216660,119620
798,217000,119950
799,217340,120290
800,217680,120620
801,218020,120960
802,218360,121300
803,218700,121630
804,219040,121970
805,219380,122300
806,219730,122640
807,220070,122970
808,220410,123310
809,220750,123640
810,221090,123980
811,221430,124320
812,221770,124650
813,222110,124990
814,222450,125320
815,222800,125660
816,223140,125990
817,223480,126330
818,223820,126670
819,224160,127000
820,224510,127340
821,224840,127670
822,225180,128010
823,225520,128340
824,225880,128680
825,226220,129010
826,226560,129350
827,226900,129690
828,227240,130020
829,227580,130360
830,227920,130690
831,228260,131030
832,228600,131360
833,228950,131700
834,229290,132040
835,229630,132370
836,229970,132710
837,230310,133040
838,230650,133380
839,230990,133710
840,231330,134050
841,231670,134390
842,232020,134720
843,232360,135060
844,232700,135390
845,233040,135730
846,233380,136060
847,233720,136400
848,234060,136730
849,234400,137070
850,234740,137410
851,235090,137740
852,235430,138080
853,235770,138410
854,236110,138750
855,236450,139080
856,236790,139420
857,237130,139760
858,237470,140090
859,237810,140430
860,238160,140760
861,238500,141100
862,238840,141430
863,239180,141770
864,239520,142110
865,239860,142440
866,240200,142780
867,240550,143110
868,240890,143450
869,241240,143780
870,241580,144120
871,241920,144450
872,242260,144790
873,242600,145130
874,242940,145460
875,243280,145800
876,243620,146130
877,243960,146470
878,244310,146800
879,244650,147140
880,244990,147480
881,245330,147810
882,245670,148150
883,246010,148480
884,246350,148820
885,246690,149150
886,247030,149490
887,247380,149820
888,247720,150160
889,248060,150500
890,248400,150830
891,248740,151170
892,249080,151500
893,249420,151840
894,249760,152170
895,250100,152510
896,250450,152850
897,250790,153180
898,251130,153520
899,251470,153850
900,251810,154190
901,252150,154520
902,252490,154860
903,252830,155200
904,253170,155530
905,253520,155870
906,253860,156200
907,254200,156540
908,254540,156870
909,254880,157210
910,255230,157540
911,255560,157880
912,255900,158220
913,256240,158550
914,256600,158890
915,256940,159220
916,257280,159560
917,257620,159890
918,257960,160230
919,258300,160570
920,258640,160900
921,258980,161240
922,259320,161570
923,259670,161910
924,260010,162240
925,260350,162580
926,260690,162910
927,261030,163250
928,261370,163590
929,261710,163920
930,262050,164260
931,262390,164590
932,262740,164930
933,263080,165260
934,263420,165600
935,263760,165940
936,264100,166270
937,264440,166610
938,264780,166940
939,265120,167280
940,265460,167610
941,265810,167950
942,266150,168290
943,266490,168620
944,266830,168960
945,267170,169290
946,267510,169630
947,267850,169960
948,268190,170300
949,268530,170630
950,268880,170970
951,269220,171310
952,269560,171640
953,269900,171980
954,270240,172310
955,270580,172650
956,270920,172980
957,271270,173320
958,271610,173660
959,271960,173990
960,272300,174330
961,272640,174660
962,272980,175000
963,273320,175330
964,273660,175670
965,274000,176000
966,274340,176340
967,274680,176680
968,275030,177010
969,275370,177350
970,275710,177680
971,276050,178020
972,276390,178350
973,276730,178690
974,277070,179030
975,277410,179360
976,277750,179700
977,278100,180030
978,278440,180370
979,278780,180700
980,279120,181040
981,279460,181380
982,279800,181710
983,280140,182050
984,280480,182380
985,280820,182720
986,281160,183050
987,281510,183390
988,281850,183720
989,282190,184060
990,282530,184400
991,282870,184730
992,283210,185070
993,283550,185400
994,283890,185740
995,284230,186070
996,284580,186410
997,284920,186750
998,285260,187080
999,285600,187420
1000,285950,187750
